id ,College Name,State,Public (1)/ Private (2),num. appli. rec'd,num. appl. accepted,num. new stud. enrolled,num. FT undergrad,num. PT undergrad,in-state tuition,out-of-state tuition,room,add. fees,estim. book costs,estim. personal $,% fac. w/PHD,stud./fac. ratio,Graduation rate
552,University of Detroit Mercy,MI,2,927,731,415,2149,2217,11130,11130,1926,100,600,2166,72,13.5,51
553,University of Michigan at Dearborn,MI,1,1796,1303,882,3493,3116,3440,10116,,,466,1862,80,18,63
554,University of Michigan at Flint,MI,1,970,877,551,3105,2944,2916,9534,,80,500,1000,70,17.7,64
555,Wayne State University,MI,1,4219,3098,1543,9778,10455,3271,7162,,100,468,,85,10.9,41
556,Western Michigan University,MI,1,9167,7191,2738,15739,4278,2785,6940,1675,455,500,1700,80,24.7,55
557,Baker College of Flint,MI,2,1754,1754,1171,2805,1342,5760,5960,,,600,,11,38.2,
558,Center for Creative Studies,MI,2,601,396,203,525,323,11230,11230,3843,130,2340,620,8,6.8,47
559,Northwood University,MI,2,1093,998,285,1650,5180,9450,9450,2600,215,600,,33,91.8,35
560,University of Michigan at Ann Arbor,MI,1,19152,12940,4893,22045,1339,5040,15732,,175,476,1600,90,11.5,87
561,Augsburg College,MN,2,662,513,257,2074,726,11902,11902,4372,112,540,950,65,12.8,58
562,Bemidji State University,MN,1,1208,877,546,3796,824,2133,4425,2700,382,660,1800,57,19.6,46
563,Carleton College,MN,2,2694,1579,489,1870,12,19292,19292,1623,126,550,550,81,10.4,91
564,College of Saint Benedict,MN,2,938,864,511,1715,103,12247,12247,1971,88,500,600,70,13.1,72
565,College of Saint Catherine,MN,2,511,411,186,1692,562,12224,12224,2290,220,450,1000,63,11.5,77
566,College of St. Scholastica,MN,2,672,596,278,1350,275,11844,11844,,75,450,1146,54,11.6,72
567,University of St. Thomas,MN,2,2057,1807,828,4106,982,11712,11712,1716,36,500,800,80,13.8,89
568,Concordia College-Moorhead,MN,2,2007,1808,829,2917,82,10110,10110,1760,100,450,800,,13.4,69
569,Concordia College at St. Paul,MN,2,281,266,139,1049,181,10500,10500,,,450,950,69,12.8,45
570,Gustavus Adolphus College,MN,2,1709,1385,634,2281,50,14125,14125,3600,35,400,700,79,12.5,80
571,Hamline University,MN,2,1006,825,328,1362,102,13252,13252,2026,156,450,550,89,13,65
572,Macalester College,MN,2,2939,1496,452,1723,113,15909,15909,2480,101,500,700,85,11.9,77
573,Mankato State University,MN,1,3073,2672,1547,9649,1792,2600,4300,2643,300,450,1660,57,19,68
574,Moorhead State University,MN,1,2442,2164,1189,5983,1075,2134,4426,2664,279,600,1000,76,18.1,60
575,Northwestern College,MN,2,699,601,352,1209,33,11328,11328,1095,,400,1885,45,14.5,
576,Southwest State University,MN,1,1047,938,511,2091,546,2285,4285,2750,365,600,1800,58,16.5,51
577,Saint Cloud State University,MN,1,3971,3306,1921,11493,2206,2270,4259,1704,255,350,1884,70,18.9,58
578,Saint John's University,MN,2,933,800,444,1691,72,12247,12247,2160,88,500,600,76,12,70
579,Saint Mary's College of Minnesota,MN,2,876,802,367,1263,118,10800,10800,1700,100,400,820,68,18.8,78
580,Saint Olaf College,MN,2,2248,1673,745,2888,105,14350,14350,2050,,550,550,82,10,83
581,University of Minnesota at Duluth,MN,1,4192,3126,1656,5887,1254,2994,8828,,310,753,2610,79,19,53
582,University of Minnesota at Morris,MN,1,1458,874,588,1846,154,3330,9843,1365,315,600,1500,74,14.6,51
583,Winona State University,MN,1,3325,2047,1301,5800,872,2200,4200,2700,400,300,1200,53,20.2,58
584,University of Minnesota Twin Cities,MN,1,11054,6397,3524,16502,21836,3171,8949,1498,414,714,2910,88,12.2,45
585,Bethel College,MN,2,856,698,310,1617,102,11050,11050,1780,,,,60,12.1,68
586,Avila College,MO,2,373,298,86,651,490,8950,8950,3800,80,500,,57,10.6,54
587,Central Methodist College,MO,2,633,504,210,920,148,7780,7780,1820,270,600,1300,50,15.1,49
588,Central Missouri State University,MO,1,4681,4101,1436,8094,1596,2310,4620,1210,,300,2250,69,19.7,50
589,Columbia College,MO,2,314,158,132,690,5346,8294,8294,1372,45,400,900,87,15.3,37
590,Culver-Stockton College,MO,2,1576,1110,274,992,112,8000,8000,,,400,500,51,14.1,51
591,Drury College,MO,2,700,650,314,1065,48,8730,8730,1824,272,500,750,82,13.2,67
592,Fontbonne College,MO,2,291,245,126,981,337,8390,8390,,150,350,1500,45,21.5,62
593,Kansas City Art Institute,MO,2,639,427,182,527,32,6572,6572,,336,1510,1695,,9.4,58
594,Lincoln University,MO,1,1400,1396,688,2019,1287,1800,3600,1112,110,,,36,14.4,
595,Lindenwood College,MO,2,810,484,356,2155,191,9200,9200,2400,200,1000,4200,65,24.1,100
596,Maryville University,MO,2,549,397,169,1343,1751,9250,9250,4550,,425,1350,52,13.1,61
597,Missouri Southern State College,MO,1,1576,1326,913,3689,2200,1920,3840,,86,200,400,52,20.3,100
598,Missouri Valley College,MO,2,1310,983,316,1057,175,8550,8550,2525,100,400,900,35,17.4,27
599,Missouri Western State College,MO,1,1887,1870,848,3615,1446,1998,3900,1307,128,500,2000,54,19,40
600,Northeast Missouri State University,MO,1,6040,4577,1620,5640,266,2704,4856,3080,118,400,1100,69,15.7,76
601,Northwest Missouri State University,MO,1,2729,2535,1257,4787,472,2130,3735,3136,67,250,1630,62,21.7,54
602,Park College,MO,2,270,225,65,3440,4103,3750,3750,,,700,800,39,18.4,49
603,Rockhurst College,MO,2,935,858,345,1127,754,9490,9490,4100,270,500,1500,60,10.7,79
604,College of the Ozarks,MO,2,3258,338,326,1277,195,,,,120,600,500,53,14.3,87
605,Southeast Missouri State University,MO,1,2281,1870,1408,6553,1246,2550,4680,2120,120,200,2150,75,17.1,45
606,Southwest Baptist University,MO,2,1093,1093,642,1770,967,7070,7070,1170,152,400,1000,52,15.9,71
607,Southwest Missouri State University,MO,1,6118,5254,3204,13131,3374,2370,4740,880,166,500,1360,70,19.9,56
608,Saint Louis University,MO,2,3294,2855,956,4576,1140,11690,11690,2300,80,800,6800,84,4.6,67
609,Stephens College,MO,2,450,405,194,614,388,13900,13900,2400,,450,2150,46,10.9,59
610,University of Missouri at Columbia,MO,1,6574,4637,2940,14782,1583,3030,9057,3485,414,600,1983,87,12.7,58
611,University of Missouri at Rolla,MO,1,1877,1826,823,3926,561,3030,9057,,551,700,1435,88,14.4,49
612,University of Missouri at Kansas City,MO,1,1901,1340,655,3416,1984,3475,9501,1980,,,,98,11.6,44
613,University of Missouri at Saint Louis,MO,1,1618,1141,479,4793,4552,2424,7246,,348,500,4288,71,13.4,48
614,Washington University,MO,2,7654,5259,1254,4879,1274,18350,18350,3431,184,768,1512,91,3.9,90
615,Webster University,MO,2,665,462,226,1739,1550,9160,9160,2100,50,500,500,68,20.6,48
616,Westminster College,MO,2,662,553,184,665,37,10720,10720,1870,200,600,1650,66,12.5,62
617,William Jewell College,MO,2,663,547,315,1279,75,10060,10060,1780,256,500,2600,74,11.2,59
618,William Woods University,MO,2,469,435,227,851,120,10535,10535,2250,140,550,3700,39,12.9,52
619,Missouri Baptist College,MO,2,308,,110,606,1142,5780,5780,2650,180,,,52,17.9,32
620,Hannibal-LaGrange College,MO,2,233,201,169,493,382,6050,6050,2510,260,500,4680,38,11.9,
621,Alcorn State University,MS,1,2928,1853,481,2326,235,4474,6616,,,600,1035,45,14.1,35
622,Belhaven College,MS,2,248,197,121,736,347,7600,7600,2805,110,600,725,60,15.8,
623,Blue Mountain College,MS,2,75,75,47,263,127,3660,3660,690,272,500,2310,33,11.3,66
624,Delta State University,MS,1,967,945,459,2806,538,1812,4528,1880,482,500,1200,49,17.1,58
625,Jackson State University,MS,1,4799,3278,1561,4786,669,2230,4190,1220,65,300,,60,15.4,41
626,Millsaps College,MS,2,905,834,319,1073,179,11320,11320,2454,584,550,1350,82,12.7,58
627,Mississippi College,MS,2,594,385,307,1695,721,5580,5580,1260,308,600,700,77,16.5,61
628,Mississippi University for Women,MS,1,480,405,380,1673,1014,2244,4386,,,600,1500,49,15.8,63
629,Mississippi State University,MS,1,4255,3277,1609,10094,1621,4946,9866,1684,477,480,1479,77,15.9,53
630,Mississippi Valley State University,MS,1,2800,1090,580,2124,199,2164,4306,1025,213,275,1200,43,18.6,56
631,Rust College,MS,2,1328,673,282,1006,174,4000,4000,998,268,225,,44,19.6,49
632,Tougaloo College,MS,2,3280,578,311,1120,33,5010,5010,,500,500,800,53,14.5,53
633,University of Mississippi,MS,1,3844,3383,1669,7524,804,1996,4916,1560,548,600,550,81,20.3,53
634,University of Southern Mississippi,MS,1,2850,2044,1046,9260,1387,2392,4652,1120,,500,500,78,18.7,45
635,William Carey College,MS,2,200,165,121,1538,419,5115,5115,1470,100,300,700,36,13.6,19
636,Carroll College,MT,2,529,492,261,1093,322,8650,8650,3815,290,390,1050,49,14.1,58
637,College of Great Falls,MT,2,394,394,268,700,537,5100,5100,990,140,400,,50,11.8,
638,Montana State University-Billings,MT,1,931,912,596,2482,868,2142,5866,1900,60,600,2000,70,18.5,40
639,Montana College of Mineral Sci. & Tech.       MT,MT,1,572,544,320,1470,416,2013,6073,1260,,550,1400,71,16.4,74
640,Montana State University,MT,1,3500,2836,1779,8730,993,1576,5552,3710,648,550,2300,75,17.6,37
641,"Montana State University, Northern",MT,1,840,840,611,1169,403,3542,5879,,,550,1200,20,10.6,
642,Rocky Mountain College,MT,2,560,392,270,743,118,8734,8734,1966,85,600,625,56,11.3,68
643,University of Montana,MT,1,3314,2809,1563,7754,1388,2251,6311,,,550,,75,21.7,30
644,Western Montana College,MT,1,376,256,256,816,1070,1935,5658,,,475,,50,16.4,59
645,North Carolina A. & T. State University,NC,1,4809,3089,1429,6162,871,740,6806,,627,600,1651,72,16.7,44
646,Appalachian State University,NC,1,7313,4664,1910,9940,1035,740,6806,1420,718,96,2000,83,18.3,70
647,University of North Carolina at Asheville,NC,1,1757,979,394,2033,1078,608,5972,1670,800,600,750,77,13,37
648,Barton College,NC,2,771,643,229,1135,505,7420,7420,1720,330,500,,55,13.7,67
649,Barber Scotia College,NC,2,933,933,480,704,,4045,4045,1329,295,736,2100,50,13.5,34
650,Belmont Abbey College,NC,2,632,494,129,709,131,9000,9000,4850,920,300,2480,78,13.2,52
651,Bennett College,NC,2,774,542,193,650,14,5600,5600,1630,1030,750,2000,63,12.1,44
652,Campbell University,NC,2,2087,1339,657,3191,1204,7550,7550,2790,128,600,500,77,21.8,63
653,Catawba College,NC,2,1083,880,291,915,80,9270,9270,,,600,1860,75,13.5,55
654,Davidson College,NC,2,2373,956,452,1601,6,17295,17295,2650,169,600,1011,95,12,94
655,Duke University,NC,2,13789,3893,1583,6188,53,18590,18590,2996,480,625,1162,95,5,97
656,East Carolina University,NC,1,9274,6362,2435,13171,1687,764,7248,1590,793,500,1700,74,13.2,58
657,Elizabeth City State University,NC,1,1531,827,405,1630,143,556,5030,1220,584,170,,68,14.1,51
658,Elon College,NC,2,3624,2786,858,2933,334,9100,9100,1782,150,490,1777,70,18.9,63
659,Fayetteville State University,NC,1,1455,1064,452,2632,617,740,6806,1150,636,350,766,75,15.1,24
660,Gardner Webb University,NC,2,1110,930,332,1603,374,8180,8180,2230,950,500,500,65,15.2,29
661,Greensboro College,NC,2,608,494,176,649,314,8330,8330,,200,550,1300,64,13,39
662,Guilford College,NC,2,1202,1054,326,1410,299,13404,13404,2456,210,450,1050,78,15.6,65
663,High Point University,NC,2,1412,1149,347,2045,359,7550,7550,2440,750,600,,55,17.8,62
664,Johnson C. Smith University,NC,2,1349,932,407,1236,47,5453,5453,1135,685,500,,61,14.2,37
665,Lees-McRae College,NC,2,545,529,216,620,37,3807,,702,458,200,625,50,13.2,
666,Lenoir-Rhyne College,NC,2,979,743,259,1188,166,10100,10100,1740,510,400,1000,88,12,66
667,Livingstone College,NC,2,900,473,217,621,11,4400,4400,2000,800,800,900,53,10.4,92
668,Mars Hill College,NC,2,1056,873,385,1111,244,6950,6950,1900,600,600,,60,11.9,69
669,Meredith College,NC,2,857,772,376,1721,470,6720,6720,,,450,1520,77,13.9,82
670,Methodist College,NC,2,750,633,296,926,367,8850,8850,2100,158,500,2600,73,11.4,56
671,Montreat-Anderson College,NC,2,263,223,103,316,20,8438,8438,1446,,500,2958,42,11.1,15
672,North Carolina Central University,NC,1,1773,1320,559,3531,808,676,5730,1568,493,,,66,15.4,40
673,North Carolina Wesleyan College,NC,2,812,689,195,646,84,8242,8242,1900,500,600,1295,77,12.7,52
674,Pembroke State University,NC,1,944,774,440,2174,529,628,6360,1410,514,550,1498,77,15,48
675,Pfeiffer College,NC,2,838,651,159,654,162,8640,8640,,,400,1915,62,12.2,48
676,Queens College,NC,2,516,392,154,630,549,11020,11020,2160,50,610,1900,73,14,58
677,Salem College,NC,2,335,284,132,534,216,10475,10475,3275,176,500,2000,68,11.2,60
678,Shaw University,NC,2,2533,937,620,2360,144,9192,9192,649,100,250,500,71,14.4,69
679,St. Andrews Presbyterian College,NC,2,624,599,170,612,150,10375,10375,1825,,500,1050,79,13.8,56
680,St. Augustine's College,NC,2,3113,1786,457,1614,131,3850,3850,1924,,,,43,14,56
681,North Carolina State University at Raleigh,NC,1,10634,7064,3176,16505,5481,874,8400,1640,710,600,1300,92,17.5,62
682,University of North Carolina at Chapel Hill,NC,1,14596,5985,3331,14609,1100,874,8400,2040,606,550,1200,88,8.9,83
683,University of North Carolina at Charlotte,NC,1,5803,4441,1730,10099,3255,764,7248,3020,693,600,1900,79,16.8,62
684,University of North Carolina at Greensboro,NC,1,5191,4134,1500,7532,1847,931,8677,1715,958,600,1300,75,15.5,53
685,Wake Forest University,NC,2,5661,2392,903,3499,172,13850,13850,4360,700,500,1250,95,4.3,89
686,Warren Wilson College,NC,2,440,311,112,466,7,10000,10000,,515,400,1100,65,11.4,63
687,Western Carolina University,NC,1,3224,2519,1057,5000,706,718,6390,1142,647,110,1622,67,14.6,55
688,University of North Carolina at Wilmington,NC,1,6071,3856,1449,6635,1145,1492,7558,2100,752,500,1500,82,19.1,55
689,Wingate College,NC,2,1239,1017,383,1207,157,7820,7820,1750,300,550,1550,69,13.9,91
690,Winston-Salem State University,NC,2,1065,801,385,2069,748,1254,6272,1342,,300,,67,13.5,46
691,Dickinson State University,ND,1,434,412,319,1376,237,1681,4486,846,176,600,2000,50,16.5,46
692,Jamestown College,ND,2,472,410,262,9950,71,7620,7620,1700,,400,400,51,17,54
693,University of Mary,ND,2,659,601,342,1476,282,6490,6490,1345,75,500,1800,26,18,48
694,Mayville State University,ND,1,233,233,153,658,58,1680,4486,2516,240,600,1900,68,15.7,51
695,Minot State University,ND,1,681,681,681,3299,602,1711,4260,724,,600,1893,44,20.1,
696,University of North Dakota,ND,1,2777,2249,1652,8334,1435,2110,5634,1033,318,450,1200,97,15.9,49
697,Valley City State University,ND,1,368,344,212,863,189,1606,4286,1820,245,600,2000,39,14.9,40
698,North Dakota State University,ND,1,2968,2297,1610,7368,1128,2310,5834,1020,198,600,2000,79,17,42
699,Chadron State College,NE,1,1024,1024,547,1830,490,1575,2670,1484,210,500,,62,25,80
700,College of Saint Mary,NE,2,305,230,107,503,801,9000,9000,3500,380,400,,23,8.9,47
701,Concordia College,NE,2,440,434,252,764,38,7896,7896,,610,450,1200,54,11.1,80
702,Creighton University,NE,2,2967,2836,876,3450,644,10628,10628,2416,336,650,2055,85,6.5,85
703,Dana College,NE,2,504,482,185,550,84,9130,9130,1950,465,450,1450,46,12.6,54
704,Doane College,NE,2,793,709,244,1022,411,9570,9570,1020,250,400,1000,67,15.1,60
705,Hastings College,NE,2,817,708,262,935,37,9376,9376,1338,396,500,1902,57,13,52
706,University of Nebraska at Kearney,NE,1,2837,2697,1417,5764,1176,1665,2550,1280,243,450,1970,59,19,55
707,Midland Lutheran College,NE,2,627,585,260,908,109,10300,10300,1210,,,,42,14.5,56
708,University of Nebraska at Omaha,NE,1,2704,2537,1766,6518,5560,1687,4560,,117,600,,77,19.7,19
709,Nebraska Wesleyan University,NE,2,969,762,382,1442,263,9540,9540,,309,500,1800,82,13.5,
710,Peru State College,NE,1,701,501,458,959,457,1432,2580,1354,254,500,900,48,20.1,44
711,Union College,NE,2,355,304,168,447,111,8760,8760,1540,,550,1800,48,8.5,48
712,University of Nebraska at Lincoln,NE,1,6277,6003,3526,16454,3171,2055,5595,1375,360,500,2070,86,15.1,53
713,Wayne State College,NE,1,1373,1373,724,2754,474,1500,2700,1230,264,540,1660,60,20.3,52
714,Bellevue University,NE,2,132,132,112,1032,943,3150,3150,,130,500,2700,66,17.6,
715,Colby-Sawyer College,NH,2,910,776,208,618,40,14090,14090,2980,,400,1000,,12.9,72
716,Dartmouth College,NH,2,8587,2273,1087,3918,32,19545,19545,3255,105,550,1100,95,4.7,98
717,Franklin Pierce College,NH,2,5187,4471,446,1818,1197,13320,13320,2500,310,500,800,50,17.6,51
718,New England College,NH,2,951,879,199,744,196,13325,13325,2770,,,,42,9.5,59
719,New Hampshire College,NH,2,1498,1275,292,1557,2973,10608,10608,2760,408,400,900,34,38.4,76
720,Notre Dame College,NH,2,379,324,107,500,311,9990,9990,2650,280,400,600,44,12.1,33
721,Rivier College,NH,2,484,386,141,590,1196,9870,9870,4860,220,600,1100,59,12.2,81
722,Saint Anselm College,NH,2,2095,1553,514,1873,94,12950,12950,5400,300,450,1120,70,14.5,97
723,University of New Hampshire,NH,1,9750,7640,2529,10358,1338,3550,11180,1648,830,650,2450,89,17.5,75
724,Keene State College,NH,1,3121,2446,822,3480,776,2590,7870,2727,756,500,1150,73,16.1,61
725,Plymouth State College,NH,1,3321,2375,748,3483,374,2590,7870,2689,792,550,1100,82,18.8,
726,Daniel Webster College,NH,2,585,508,153,460,536,12292,12292,2370,120,500,500,61,22.2,72
727,Thomas More Coll. of Liberal Arts,NH,2,35,35,22,59,,7200,7200,,,600,1300,80,11.8,60
728,Bloomfield College,NJ,2,1694,1408,268,1312,685,8300,8300,,150,500,2370,53,14.4,38
729,Caldwell College,NJ,2,1011,604,213,693,868,8900,8900,,105,425,1000,87,13.9,55
730,Centenary College,NJ,2,369,312,90,396,526,11400,11400,5400,340,500,760,41,9.5,24
731,College of Saint Elizabeth,NJ,2,444,359,122,493,968,10900,10900,,500,380,1000,68,11.4,78
732,Drew University,NJ,2,2153,1580,321,1192,87,18432,18432,3224,510,520,660,93,10.2,83
733,Georgian Court College,NJ,2,348,281,127,1095,785,9150,9150,1750,130,500,800,56,12.2,76
734,Rowan College of New Jersey,NJ,1,3820,1431,695,5303,3942,2342,4356,,753,800,800,76,22.1,51
735,Felician College,NJ,2,420,280,155,505,640,8100,8100,,220,500,,66,11.2,
736,Jersey City State College,NJ,1,2957,1423,691,3817,1394,2798,3946,2000,646,400,1500,63,14.9,26
737,Monmouth College,NJ,2,2707,1881,478,1893,847,12480,12480,2700,490,530,1740,70,14.2,54
738,Montclair State University,NJ,1,5220,2128,865,6411,3186,2400,3648,3160,600,700,950,82,21.5,58
739,New Jersey Institute of Technology,NJ,1,1879,1216,483,3311,1646,4188,8832,3764,792,700,1850,92,13.5,72
740,Kean College of New Jersey,NJ,1,3344,2322,1105,6804,3933,1965,2875,2640,590,600,,76,17.2,40
741,William Paterson College of New Jersey,NJ,1,5485,2662,1108,5938,2298,2385,3135,2600,25,300,,77,23.5,38
742,Princeton University,NJ,2,13218,2042,1153,4540,146,19900,19900,2696,400,675,1575,91,8.4,99
743,Rider University,NJ,2,3586,2424,730,2748,1309,13250,13250,,215,700,3100,84,12.3,70
744,Rutgers State University at Newark,NJ,1,5785,2690,499,4005,1886,3640,7410,2780,978,690,2009,90,17.4,58
745,Seton Hall University,NJ,2,4576,3565,1000,4384,1530,12000,12000,4358,550,650,1000,81,14.4,64
746,Saint Peter's College,NJ,2,1606,1413,530,1921,1154,9408,9408,2820,295,500,450,78,12.1,53
747,Stevens Institute of Technology,NJ,2,1768,1249,380,1263,11,16900,16900,5680,635,450,750,89,19,79
748,Trenton State College,NJ,1,5042,2312,944,5167,902,3116,5391,,896,700,1000,81,14.4,81
749,Upsala College,NJ,2,1540,1363,446,950,214,12500,12500,,200,700,500,72,14,43
750,Rutgers State University at Camden,NJ,1,3366,1752,232,2585,1300,3641,7411,2780,849,690,2009,90,18.6,57
751,Rutgers at New Brunswick,NJ,1,48094,26330,4520,21401,3712,3640,7410,2780,1003,690,2009,90,19.5,77
752,Fairleigh Dickinson University,NJ,2,3148,1616,504,3553,3152,11010,11010,2994,611,623,,77,16.7,60
753,Ramapo College of New Jersey,NJ,1,2088,957,362,2745,1938,3227,4449,3400,,600,1655,74,17.8,47
754,Stockton College of New Jersey,NJ,1,4019,1579,710,4365,765,2288,3040,2775,704,711,1125,78,19.5,64
755,Saint John's College,NM,2,285,246,126,411,,17430,17430,2790,200,275,950,73,9.8,61
756,College of Santa Fe,NM,2,546,447,189,873,683,11138,11138,1978,330,600,1200,40,14,80
757,College of the Southwest,NM,2,77,61,27,352,147,3120,3120,1358,125,400,500,24,14.3,20
758,Eastern New Mexico University,NM,1,1256,1220,590,2762,587,1518,5586,,,500,1200,73,19.6,34
759,New Mexico Highlands University,NM,1,777,649,406,1630,384,1392,5148,1430,20,400,,72,17.4,28
760,New Mexico Institute of Mining and Tech. ,NM,1,787,601,233,1017,411,1302,5376,3214,556,600,1100,99,13.7,34
761,New Mexico State University,NM,1,4119,3200,1663,9673,3481,1980,6432,1588,,550,1066,76,19.6,40
762,Western New Mexico University,NM,1,1054,1054,470,1495,521,1394,4652,1340,,500,,55,15.5,47
763,Univ. of New Mexico-Main Campus,NM,1,3871,3349,1891,12257,5264,1884,7115,,420,584,500,91,14.3,34
764,University of Nevada at Reno,NV,1,2868,2409,1524,5916,2939,1740,6490,2635,20,600,2900,78,15.4,54
765,University of Nevada-Las Vegas,NV,1,,2786,1595,7969,8008,1740,6490,1702,40,700,1700,76,14.8,37
766,Sierra Nevada College,NV,2,200,160,100,300,50,7500,7500,2500,,500,,45,7.5,29
767,Adelphi University,NY,2,2186,1924,512,2683,1227,12280,12280,,,750,1500,29,12.2,56
768,Dowling College,NY,2,1011,829,410,1059,2458,9000,9000,,630,450,1413,77,12.4,42
769,Alfred University,NY,2,1732,1425,472,1830,110,16548,16548,2808,424,500,600,82,11.3,73
770,Bard College,NY,2,1910,838,285,1004,15,19264,19264,,496,750,750,98,10.4,79
771,Canisius College,NY,2,2853,2193,753,2978,434,10750,10750,2750,326,400,1130,90,14.6,64
772,Cazenovia College,NY,2,3847,3433,527,1010,12,9384,9384,2420,395,600,500,22,14.3,118
773,CUNY-Brooklyn College,NY,1,3589,2992,1367,7767,3827,2450,5050,,155,500,700,83,15.6,43
774,CUNY - City College,NY,1,3788,2747,1269,8071,3629,2450,5050,,93,500,,78,12.8,34
775,CUNY-Hunter College,NY,1,6189,3212,1418,8140,5947,2450,5050,1600,107,500,500,62,14.1,39
776,CUNY - Queens College,NY,1,4681,3627,1749,8837,5624,2650,5250,,200,500,2100,100,12.5,46
777,Clarkson University,NY,2,2174,1953,557,2332,53,15960,15960,2622,323,700,1300,95,15.8,77
778,Colgate University,NY,2,4856,2492,727,2649,25,19510,19510,2690,145,500,750,95,10.5,93
779,College of Mount St. Vincent,NY,2,946,648,177,707,432,11790,11790,,60,500,1000,75,11.9,83
780,College of New Rochelle,NY,2,551,437,143,2515,639,10200,10200,,,,,87,37.5,
781,College of Saint Rose,NY,2,983,664,249,1698,894,9990,9990,,150,800,1500,66,14.3,64
782,Columbia University,NY,2,6756,1930,871,3376,55,18624,18624,3740,486,550,300,97,5.9,99
783,Barnard College,NY,2,2496,1402,531,2121,69,17926,17926,4786,720,600,850,83,10.3,91
784,Concordia College,NY,2,303,198,101,443,153,9370,9370,1870,,,,50,9.5,53
785,Cooper Union,NY,2,2339,307,197,959,26,,,4700,300,860,1450,67,8.1,95
786,Cornell University,NY,2,19227,7171,3286,13072,,19000,19000,3658,66,510,1060,91,6.9,93
787,D'Youville College,NY,2,866,619,157,1074,336,8920,8920,,180,680,1320,68,14.6,46
788,Dominican College of Blauvelt,NY,2,360,329,108,756,863,8310,8310,5500,395,600,1800,43,12.7,54
789,Elmira College,NY,2,1457,1045,345,1109,502,14990,14990,2860,300,450,550,77,21.5,64
790,Fordham University,NY,2,4200,2874,942,4740,1646,14235,14235,6965,170,600,1735,86,14.4,80
791,Hamilton College,NY,2,3140,1783,454,1646,24,19700,19700,2550,,300,800,91,9.6,91
792,Hartwick College,NY,2,2083,1725,430,1464,67,17480,17480,2250,300,500,700,75,12.3,73
793,Hobart and William Smith Colleges,NY,2,2688,2081,500,1792,5,19029,19029,2877,431,600,600,99,12.1,79
794,Hofstra University,NY,2,7428,5860,1349,6534,1350,11600,11600,3620,650,1000,1000,81,13.9,60
795,Houghton College,NY,2,949,786,302,1210,26,9990,9990,1850,310,500,1500,85,15,67
796,Hilbert College,NY,2,238,235,108,888,390,7500,7500,1730,400,600,1160,31,14.3,
797,Iona College,NY,2,4892,3530,913,3906,1446,10690,10690,,270,570,1150,66,16,66
798,Ithaca College,NY,2,7259,5526,1368,5612,166,14424,14424,3062,,634,1000,58,11.5,75
799,Keuka College,NY,2,461,381,174,738,55,9600,9600,4550,265,600,750,55,13.3,51
800,King's College,NY,2,356,233,53,246,18,8190,8190,1992,250,500,1000,100,7,
801,Le Moyne College,NY,2,1470,1199,425,1820,558,11040,11040,1950,320,400,900,89,13.3,94
802,Manhattan College,NY,2,2432,1730,563,2578,254,12370,12370,6800,972,500,1800,92,13.6,79
803,Manhattanville College,NY,2,962,750,212,830,150,14700,14700,3600,410,450,400,97,11.3,70
804,Marist College,NY,2,4731,3171,830,3557,658,10700,10700,2400,290,550,1200,74,17.6,69
805,Marymount College Tarrytown,NY,2,478,327,117,731,370,11510,11510,,390,575,1075,71,10.3,77
806,Marymount Manhattan College,NY,2,695,535,239,988,785,10200,10200,7000,125,350,1100,63,11.7,68
807,Mercy College,NY,2,1518,1378,788,4266,1811,7200,7200,,,500,800,67,13.8,
808,Molloy College,NY,2,481,401,185,1402,579,8800,8800,,345,800,6900,38,9.7,80
809,Medaille College,NY,2,384,223,143,1146,236,8920,8920,2500,80,800,2050,65,16.2,
810,Mount Saint Mary College,NY,2,1170,695,238,1170,429,7470,7470,4600,260,250,1400,74,15.3,88
811,Nazareth College of Rochester,NY,2,947,798,266,1274,471,10850,10850,5150,200,550,800,77,13.6,61
812,New York University,NY,2,13594,7244,2505,12408,2814,17748,17748,,991,450,1000,87,7.8,71
813,Niagara University,NY,2,2220,1796,467,1919,334,10320,10320,,420,450,650,68,14.2,65
814,Nyack College,NY,2,460,283,160,508,34,7950,7950,1680,450,600,1200,35,11.6,55
815,Pace University,NY,2,8256,3750,1522,5809,4379,11100,11000,1340,350,660,1115,90,13.8,62
816,Polytechnic University,NY,2,1132,847,302,1379,214,16200,16200,,280,436,2486,90,10.4,62
817,Pratt Institute,NY,2,1181,903,292,1622,166,13975,13975,4360,380,1500,630,,10.8,58
818,Rensselaer Polytechnic Institute,NY,2,4996,4165,936,4291,16,17475,17475,,550,1230,1100,94,15.4,70
819,Roberts Wesleyan College,NY,2,459,422,212,932,107,10220,10220,1194,214,520,1400,45,13.4,46
820,Rochester Institute of Technology,NY,2,4704,3798,1381,7176,2578,13968,13968,2604,261,500,875,,10.8,68
821,Daemen College,NY,2,939,894,269,1378,522,7950,7950,,320,600,,,23.8,
822,Sage Colleges,NY,2,419,170,373,1022,169,,,,,,,105,8.2,64
823,Sarah Lawrence College,NY,2,1380,768,263,1000,105,19300,19300,4816,264,600,700,89,6.1,83
824,Skidmore College,NY,2,4293,2728,591,2322,263,18710,18710,3170,215,500,700,87,12.7,81
825,Siena College,NY,2,2961,1932,628,2669,616,10800,10800,2120,310,575,1090,71,14.1,100
